,name,training_dataset,dataset,under_seg_ratio,over_seg_ratio,avg_under_severity,avg_over_severity
36,UNet,Massachusetts,kitsap,0.0124 ± 0.0022,0.0159 ± 0.0055,1.0000 ± 0.0000,1.0000 ± 0.0000
37,UNet,Massachusetts,overall,0.1508 ± 0.0059,0.0240 ± 0.0018,1.5295 ± 0.0237,1.0560 ± 0.0158
38,UNet,Massachusetts,tyrol-w,0.0874 ± 0.0076,0.0295 ± 0.0028,1.2289 ± 0.0510,1.0465 ± 0.0126
39,UNet,Massachusetts,vienna,0.0391 ± 0.0069,0.0574 ± 0.0070,1.1603 ± 0.0324,1.1049 ± 0.0259
40,UNet,WHU,Massachusetts,0.1208 ± 0.0049,0.0123 ± 0.0008,1.3305 ± 0.0090,1.1153 ± 0.0097
41,UNet,WHU,WHU Test,0.0272 ± 0.0014,0.0110 ± 0.0006,1.0586 ± 0.0098,1.0371 ± 0.0127
42,UNet,WHU,austin,0.0308 ± 0.0054,0.0219 ± 0.0011,1.1536 ± 0.0249,1.0247 ± 0.0083
43,UNet,WHU,chicago,0.3091 ± 0.0138,0.0070 ± 0.0013,1.6432 ± 0.0246,1.0309 ± 0.0175
44,UNet,WHU,kitsap,0.0071 ± 0.0031,0.0094 ± 0.0027,1.1250 ± 0.1250,1.0000 ± 0.0000
45,UNet,WHU,overall,0.1335 ± 0.0010,0.0204 ± 0.0017,1.5768 ± 0.0265,1.0554 ± 0.0036
46,UNet,WHU,tyrol-w,0.0473 ± 0.0042,0.0388 ± 0.0059,1.1562 ± 0.0397,1.0597 ± 0.0193
47,UNet,WHU,vienna,0.0223 ± 0.0045,0.0482 ± 0.0049,1.1952 ± 0.0228,1.0872 ± 0.0155
48,UNet + CFENet,Massachusetts,Massachusetts,0.0445 ± 0.0043,0.0117 ± 0.0008,1.2341 ± 0.0280,1.0893 ± 0.0276
49,UNet + CFENet,Massachusetts,WHU Test,0.0857 ± 0.0359,0.0157 ± 0.0061,1.1968 ± 0.0439,1.0288 ± 0.0032
50,UNet + CFENet,Massachusetts,austin,0.0679 ± 0.0577,0.0270 ± 0.0083,1.2258 ± 0.0272,1.0151 ± 0.0059
51,UNet + CFENet,Massachusetts,chicago,0.2940 ± 0.0421,0.0118 ± 0.0052,1.6089 ± 0.0334,1.0400 ± 0.0191
52,UNet + CFENet,Massachusetts,kitsap,0.0120 ± 0.0080,0.0204 ± 0.0020,1.0000 ± 0.0000,1.0000 ± 0.0000
53,UNet + CFENet,Massachusetts,overall,0.1546 ± 0.0235,0.0238 ± 0.0061,1.5178 ± 0.0237,1.0451 ± 0.0185
54,UNet + CFENet,Massachusetts,tyrol-w,0.0905 ± 0.0298,0.0318 ± 0.0110,1.2099 ± 0.0267,1.0234 ± 0.0073
55,UNet + CFENet,Massachusetts,vienna,0.0431 ± 0.0113,0.0526 ± 0.0143,1.2306 ± 0.0354,1.0822 ± 0.0487
56,UNet + CFENet,WHU,Massachusetts,0.1148 ± 0.0120,0.0112 ± 0.0011,1.3322 ± 0.0177,1.0788 ± 0.0153
57,UNet + CFENet,WHU,WHU Test,0.0246 ± 0.0019,0.0105 ± 0.0014,1.0566 ± 0.0034,1.0302 ± 0.0018
58,UNet + CFENet,WHU,austin,0.0271 ± 0.0030,0.0205 ± 0.0028,1.2422 ± 0.0540,1.0259 ± 0.0195
59,UNet + CFENet,WHU,chicago,0.3014 ± 0.0266,0.0061 ± 0.0020,1.6541 ± 0.0365,1.0401 ± 0.0205
60,UNet + CFENet,WHU,kitsap,0.0072 ± 0.0016,0.0050 ± 0.0028,1.1944 ± 0.1735,1.0000 ± 0.0000
61,UNet + CFENet,WHU,overall,0.1299 ± 0.0049,0.0186 ± 0.0014,1.5955 ± 0.0249,1.0395 ± 0.0136
62,UNet + CFENet,WHU,tyrol-w,0.0468 ± 0.0088,0.0361 ± 0.0012,1.1773 ± 0.0376,1.0586 ± 0.0361
63,UNet + CFENet,WHU,vienna,0.0228 ± 0.0034,0.0436 ± 0.0010,1.2465 ± 0.0060,1.0388 ± 0.0045
64,UPerNet,Massachusetts,Massachusetts,0.0428 ± 0.0046,0.0125 ± 0.0008,1.1994 ± 0.0176,1.0757 ± 0.0058
65,UPerNet,Massachusetts,WHU Test,0.0859 ± 0.0071,0.0162 ± 0.0034,1.1974 ± 0.0165,1.0365 ± 0.0052
66,UPerNet,Massachusetts,austin,0.0615 ± 0.0064,0.0269 ± 0.0039,1.1942 ± 0.0300,1.0245 ± 0.0087
67,UPerNet,Massachusetts,chicago,0.3176 ± 0.0076,0.0093 ± 0.0022,1.6313 ± 0.0126,1.0167 ± 0.0144
68,UPerNet,Massachusetts,kitsap,0.0107 ± 0.0049,0.0287 ± 0.0112,1.0000 ± 0.0000,1.0278 ± 0.0481
69,UPerNet,Massachusetts,overall,0.1515 ± 0.0064,0.0249 ± 0.0058,1.5287 ± 0.0170,1.0522 ± 0.0143
70,UPerNet,Massachusetts,tyrol-w,0.0883 ± 0.0054,0.0290 ± 0.0042,1.2186 ± 0.0263,1.0311 ± 0.0123
71,UPerNet,Massachusetts,vienna,0.0404 ± 0.0090,0.0618 ± 0.0195,1.1767 ± 0.0545,1.0928 ± 0.0252
72,UPerNet,WHU,Massachusetts,0.1030 ± 0.0083,0.0136 ± 0.0010,1.3431 ± 0.0193,1.0746 ± 0.0159
73,UPerNet,WHU,WHU Test,0.0240 ± 0.0015,0.0116 ± 0.0006,1.0554 ± 0.0010,1.0330 ± 0.0023
74,UPerNet,WHU,austin,0.0326 ± 0.0071,0.0243 ± 0.0030,1.1540 ± 0.0237,1.0315 ± 0.0047
75,UPerNet,WHU,chicago,0.2982 ± 0.0092,0.0068 ± 0.0005,1.6496 ± 0.0294,1.0532 ± 0.0224
76,UPerNet,WHU,kitsap,0.0089 ± 0.0039,0.0066 ± 0.0023,1.0000 ± 0.0000,1.0000 ± 0.0000
77,UPerNet,WHU,overall,0.1308 ± 0.0028,0.0204 ± 0.0010,1.5737 ± 0.0208,1.0530 ± 0.0092
78,UPerNet,WHU,tyrol-w,0.0509 ± 0.0039,0.0419 ± 0.0029,1.1358 ± 0.0205,1.0572 ± 0.0251
79,UPerNet,WHU,vienna,0.0249 ± 0.0012,0.0434 ± 0.0037,1.1981 ± 0.0130,1.0704 ± 0.0135
80,UPerNet + CFENet,Massachusetts,Massachusetts,0.0381 ± 0.0084,0.0135 ± 0.0031,1.1919 ± 0.0252,1.0849 ± 0.0257
81,UPerNet + CFENet,Massachusetts,WHU Test,0.0868 ± 0.0062,0.0121 ± 0.0011,1.1690 ± 0.0091,1.0409 ± 0.0034
82,UPerNet + CFENet,Massachusetts,austin,0.0373 ± 0.0041,0.0306 ± 0.0042,1.2169 ± 0.0051,1.0288 ± 0.0164
83,UPerNet + CFENet,Massachusetts,chicago,0.2535 ± 0.0166,0.0152 ± 0.0038,1.5566 ± 0.0498,1.0463 ± 0.0071
84,UPerNet + CFENet,Massachusetts,kitsap,0.0087 ± 0.0029,0.0247 ± 0.0043,1.0000 ± 0.0000,1.0185 ± 0.0321
85,UPerNet + CFENet,Massachusetts,overall,0.1324 ± 0.0084,0.0269 ± 0.0050,1.4855 ± 0.0367,1.0615 ± 0.0128
86,UPerNet + CFENet,Massachusetts,tyrol-w,0.0992 ± 0.0136,0.0264 ± 0.0081,1.2074 ± 0.0391,1.0312 ± 0.0035
87,UPerNet + CFENet,Massachusetts,vienna,0.0373 ± 0.0120,0.0588 ± 0.0120,1.1828 ± 0.0430,1.1067 ± 0.0411
88,UPerNet + CFENet,WHU,Massachusetts,0.0789 ± 0.0140,0.0115 ± 0.0006,1.2748 ± 0.0224,1.0714 ± 0.0346
89,UPerNet + CFENet,WHU,WHU Test,0.0213 ± 0.0018,0.0116 ± 0.0014,1.0588 ± 0.0047,1.0334 ± 0.0095
90,UPerNet + CFENet,WHU,austin,0.0244 ± 0.0083,0.0231 ± 0.0056,1.1764 ± 0.0184,1.0314 ± 0.0162
91,UPerNet + CFENet,WHU,chicago,0.2719 ± 0.0187,0.0089 ± 0.0030,1.6564 ± 0.0460,1.0402 ± 0.0052
92,UPerNet + CFENet,WHU,kitsap,0.0054 ± 0.0013,0.0054 ± 0.0013,1.4556 ± 0.2365,1.0000 ± 0.0000
93,UPerNet + CFENet,WHU,overall,0.1229 ± 0.0042,0.0209 ± 0.0028,1.5961 ± 0.0325,1.0508 ± 0.0083
94,UPerNet + CFENet,WHU,tyrol-w,0.0433 ± 0.0048,0.0376 ± 0.0025,1.1653 ± 0.0043,1.0522 ± 0.0136
95,UPerNet + CFENet,WHU,vienna,0.0219 ± 0.0010,0.0471 ± 0.0054,1.2197 ± 0.0271,1.0717 ± 0.0191
