name,training_dataset,dataset,size,recall
DeepLabV3+,WHU,vienna,small,0.3206 ± 0.0099
DeepLabV3+,WHU,vienna,very_large,0.6607 ± 0.0595
DeepLabV3+ + CFENet,Massachusetts,Massachusetts,large,0.7667 ± 0.0094
DeepLabV3+ + CFENet,Massachusetts,Massachusetts,medium,0.9121 ± 0.0036
DeepLabV3+ + CFENet,Massachusetts,Massachusetts,outlier,0.8259 ± 0.0064
DeepLabV3+ + CFENet,Massachusetts,Massachusetts,small,0.4985 ± 0.0113
DeepLabV3+ + CFENet,Massachusetts,Massachusetts,very_large,0.7922 ± 0.0203
DeepLabV3+ + CFENet,Massachusetts,WHU Test,large,0.7959 ± 0.0333
DeepLabV3+ + CFENet,Massachusetts,WHU Test,medium,0.7349 ± 0.0516
DeepLabV3+ + CFENet,Massachusetts,WHU Test,outlier,0.7982 ± 0.1519
DeepLabV3+ + CFENet,Massachusetts,WHU Test,small,0.4395 ± 0.0484
DeepLabV3+ + CFENet,Massachusetts,WHU Test,very_large,0.8229 ± 0.0259
DeepLabV3+ + CFENet,Massachusetts,austin,large,0.5690 ± 0.0568
DeepLabV3+ + CFENet,Massachusetts,austin,medium,0.4921 ± 0.0329
DeepLabV3+ + CFENet,Massachusetts,austin,outlier,0.4074 ± 0.2313
DeepLabV3+ + CFENet,Massachusetts,austin,small,0.3206 ± 0.0320
DeepLabV3+ + CFENet,Massachusetts,austin,very_large,0.7778 ± 0.0123
DeepLabV3+ + CFENet,Massachusetts,chicago,large,0.4895 ± 0.0448
DeepLabV3+ + CFENet,Massachusetts,chicago,medium,0.2253 ± 0.0167
DeepLabV3+ + CFENet,Massachusetts,chicago,outlier,0.7121 ± 0.0694
DeepLabV3+ + CFENet,Massachusetts,chicago,small,0.2072 ± 0.0183
DeepLabV3+ + CFENet,Massachusetts,chicago,very_large,0.6384 ± 0.0652
DeepLabV3+ + CFENet,Massachusetts,kitsap,large,0.6174 ± 0.1141
DeepLabV3+ + CFENet,Massachusetts,kitsap,medium,0.4145 ± 0.0768
DeepLabV3+ + CFENet,Massachusetts,kitsap,outlier,0.0000 ± 0.0000
DeepLabV3+ + CFENet,Massachusetts,kitsap,small,0.1579 ± 0.0365
DeepLabV3+ + CFENet,Massachusetts,kitsap,very_large,0.1667 ± 0.0000
DeepLabV3+ + CFENet,Massachusetts,overall,large,0.6103 ± 0.0301
DeepLabV3+ + CFENet,Massachusetts,overall,medium,0.3763 ± 0.0152
DeepLabV3+ + CFENet,Massachusetts,overall,outlier,0.3886 ± 0.0249
DeepLabV3+ + CFENet,Massachusetts,overall,small,0.2404 ± 0.0046
DeepLabV3+ + CFENet,Massachusetts,overall,very_large,0.5236 ± 0.0261
DeepLabV3+ + CFENet,Massachusetts,tyrol-w,large,0.6297 ± 0.0154
DeepLabV3+ + CFENet,Massachusetts,tyrol-w,medium,0.6539 ± 0.0122
