name,training_dataset,dataset,size,recall
DeepLabV3+,Massachusetts,vienna,large,"0.7769 ± 0.0185 → 0.7654 ± 0.0008 (Δ=-0.0115, t=-1.11, p=0.384)"
DeepLabV3+,Massachusetts,vienna,medium,"0.7741 ± 0.0321 → 0.7237 ± 0.0218 (Δ=-0.0504, t=-1.66, p=0.239)"
DeepLabV3+,Massachusetts,vienna,outlier,"0.5303 ± 0.0379 → 0.3232 ± 0.0537 (Δ=-0.2071, t=-4.73, p=0.042)"
DeepLabV3+,Massachusetts,vienna,small,"0.2998 ± 0.0223 → 0.2647 ± 0.0279 (Δ=-0.0350, t=-1.52, p=0.267)"
DeepLabV3+,Massachusetts,vienna,very_large,"0.6027 ± 0.0191 → 0.4531 ± 0.0279 (Δ=-0.1496, t=-6.06, p=0.026)"
DeepLabV3+,WHU,Massachusetts,large,"0.4663 ± 0.0474 → 0.4752 ± 0.0419 (Δ=+0.0089, t=0.71, p=0.553)"
DeepLabV3+,WHU,Massachusetts,medium,"0.3906 ± 0.0655 → 0.4040 ± 0.0500 (Δ=+0.0135, t=0.48, p=0.680)"
DeepLabV3+,WHU,Massachusetts,outlier,"0.5111 ± 0.0949 → 0.5741 ± 0.0723 (Δ=+0.0630, t=1.44, p=0.286)"
DeepLabV3+,WHU,Massachusetts,small,"0.0667 ± 0.0153 → 0.0702 ± 0.0184 (Δ=+0.0035, t=0.27, p=0.813)"
DeepLabV3+,WHU,Massachusetts,very_large,"0.5150 ± 0.0785 → 0.5456 ± 0.0307 (Δ=+0.0306, t=1.10, p=0.385)"
DeepLabV3+,WHU,WHU Test,large,"0.9505 ± 0.0023 → 0.9515 ± 0.0038 (Δ=+0.0010, t=1.11, p=0.383)"
DeepLabV3+,WHU,WHU Test,medium,"0.9765 ± 0.0023 → 0.9781 ± 0.0032 (Δ=+0.0016, t=2.90, p=0.101)"
DeepLabV3+,WHU,WHU Test,outlier,"1.0000 ± 0.0000 → 0.9912 ± 0.0152 (Δ=-0.0088, t=-1.00, p=0.423)"
DeepLabV3+,WHU,WHU Test,small,"0.7836 ± 0.0234 → 0.8000 ± 0.0194 (Δ=+0.0165, t=3.86, p=0.061)"
DeepLabV3+,WHU,WHU Test,very_large,"0.9387 ± 0.0034 → 0.9555 ± 0.0059 (Δ=+0.0168, t=8.50, p=0.014)"
DeepLabV3+,WHU,austin,large,"0.7243 ± 0.0419 → 0.7389 ± 0.0205 (Δ=+0.0146, t=1.16, p=0.365)"
DeepLabV3+,WHU,austin,medium,"0.6418 ± 0.0359 → 0.6576 ± 0.0241 (Δ=+0.0158, t=1.86, p=0.204)"
DeepLabV3+,WHU,austin,outlier,"0.4815 ± 0.0642 → 0.5185 ± 0.2796 (Δ=+0.0370, t=0.28, p=0.808)"
DeepLabV3+,WHU,austin,small,"0.3608 ± 0.0256 → 0.3450 ± 0.0084 (Δ=-0.0158, t=-0.81, p=0.503)"
DeepLabV3+,WHU,austin,very_large,"0.8889 ± 0.0214 → 0.8642 ± 0.0653 (Δ=-0.0247, t=-0.79, p=0.510)"
DeepLabV3+,WHU,chicago,large,"0.4461 ± 0.0115 → 0.4579 ± 0.0348 (Δ=+0.0117, t=0.45, p=0.699)"
DeepLabV3+,WHU,chicago,medium,"0.1867 ± 0.0248 → 0.2481 ± 0.0469 (Δ=+0.0614, t=1.53, p=0.266)"
DeepLabV3+,WHU,chicago,outlier,"0.8333 ± 0.0525 → 0.7879 ± 0.1721 (Δ=-0.0455, t=-0.65, p=0.580)"
