name,training_dataset,dataset,instance_precision,instance_recall,instance_f1
DeepLabV3+,WHU,austin,"0.6413 ± 0.0302 → 0.7371 ± 0.0239 (Δ=+0.0958, t=11.77, p=0.007)","0.5805 ± 0.0337 → 0.5871 ± 0.0154 (Δ=+0.0066, t=0.60, p=0.608)","0.6094 ± 0.0320 → 0.6536 ± 0.0189 (Δ=+0.0442, t=5.01, p=0.038)"
DeepLabV3+,WHU,chicago,"0.4015 ± 0.0334 → 0.4994 ± 0.0238 (Δ=+0.0980, t=5.80, p=0.028)","0.2440 ± 0.0308 → 0.2957 ± 0.0402 (Δ=+0.0516, t=1.28, p=0.330)","0.3033 ± 0.0324 → 0.3704 ± 0.0351 (Δ=+0.0671, t=1.82, p=0.210)"
DeepLabV3+,WHU,kitsap,"0.3359 ± 0.1866 → 0.7391 ± 0.0229 (Δ=+0.4032, t=3.34, p=0.079)","0.5908 ± 0.0025 → 0.5972 ± 0.0107 (Δ=+0.0064, t=1.25, p=0.338)","0.4075 ± 0.1547 → 0.6606 ± 0.0152 (Δ=+0.2530, t=2.60, p=0.121)"
DeepLabV3+,WHU,overall,"0.4324 ± 0.0446 → 0.6066 ± 0.0349 (Δ=+0.1743, t=14.53, p=0.005)","0.4144 ± 0.0281 → 0.4402 ± 0.0155 (Δ=+0.0258, t=1.18, p=0.359)","0.4231 ± 0.0359 → 0.5097 ± 0.0153 (Δ=+0.0866, t=4.51, p=0.046)"
DeepLabV3+,WHU,tyrol-w,"0.2597 ± 0.0703 → 0.6443 ± 0.0291 (Δ=+0.3845, t=14.69, p=0.005)","0.6335 ± 0.0448 → 0.6234 ± 0.0257 (Δ=-0.0101, t=-0.86, p=0.479)","0.3662 ± 0.0789 → 0.6336 ± 0.0270 (Δ=+0.2674, t=8.78, p=0.013)"
DeepLabV3+,WHU,vienna,"0.5289 ± 0.0719 → 0.6112 ± 0.0685 (Δ=+0.0824, t=6.43, p=0.023)","0.5328 ± 0.0206 → 0.5331 ± 0.0135 (Δ=+0.0003, t=0.07, p=0.951)","0.5299 ± 0.0471 → 0.5688 ± 0.0378 (Δ=+0.0388, t=5.18, p=0.035)"
UNet,Massachusetts,Massachusetts,"0.8331 ± 0.0170 → 0.8507 ± 0.0093 (Δ=+0.0176, t=1.77, p=0.219)","0.7897 ± 0.0218 → 0.8171 ± 0.0159 (Δ=+0.0274, t=5.16, p=0.036)","0.8108 ± 0.0189 → 0.8335 ± 0.0108 (Δ=+0.0228, t=4.53, p=0.045)"
UNet,Massachusetts,WHU Test,"0.5520 ± 0.0449 → 0.5628 ± 0.0230 (Δ=+0.0109, t=0.30, p=0.795)","0.6289 ± 0.0090 → 0.5801 ± 0.0220 (Δ=-0.0488, t=-3.03, p=0.094)","0.5871 ± 0.0230 → 0.5713 ± 0.0219 (Δ=-0.0158, t=-0.66, p=0.575)"
UNet,Massachusetts,austin,"0.2708 ± 0.0652 → 0.3067 ± 0.0969 (Δ=+0.0359, t=0.43, p=0.712)","0.4686 ± 0.0407 → 0.3822 ± 0.0269 (Δ=-0.0864, t=-2.23, p=0.156)","0.3419 ± 0.0636 → 0.3365 ± 0.0705 (Δ=-0.0054, t=-0.08, p=0.946)"
UNet,Massachusetts,chicago,"0.2859 ± 0.0498 → 0.3272 ± 0.0507 (Δ=+0.0413, t=0.98, p=0.430)","0.2201 ± 0.0374 → 0.2408 ± 0.0633 (Δ=+0.0207, t=0.75, p=0.533)","0.2486 ± 0.0424 → 0.2764 ± 0.0592 (Δ=+0.0278, t=0.85, p=0.484)"
UNet,Massachusetts,kitsap,"0.1644 ± 0.0543 → 0.1407 ± 0.0561 (Δ=-0.0238, t=-0.41, p=0.721)","0.4752 ± 0.0180 → 0.3487 ± 0.0645 (Δ=-0.1265, t=-4.69, p=0.043)","0.2407 ± 0.0605 → 0.1931 ± 0.0525 (Δ=-0.0476, t=-0.78, p=0.517)"
UNet,Massachusetts,overall,"0.2993 ± 0.0550 → 0.3257 ± 0.0625 (Δ=+0.0264, t=0.45, p=0.695)","0.3592 ± 0.0264 → 0.3218 ± 0.0262 (Δ=-0.0374, t=-1.92, p=0.194)","0.3258 ± 0.0437 → 0.3230 ± 0.0433 (Δ=-0.0029, t=-0.07, p=0.950)"
UNet,Massachusetts,tyrol-w,"0.4545 ± 0.0812 → 0.4468 ± 0.0524 (Δ=-0.0077, t=-0.10, p=0.929)","0.5741 ± 0.0333 → 0.4420 ± 0.0350 (Δ=-0.1321, t=-3.35, p=0.079)","0.5056 ± 0.0626 → 0.4441 ± 0.0417 (Δ=-0.0615, t=-1.03, p=0.413)"
UNet,Massachusetts,vienna,"0.3548 ± 0.0232 → 0.3976 ± 0.0148 (Δ=+0.0428, t=2.13, p=0.167)","0.4766 ± 0.0059 → 0.4039 ± 0.0239 (Δ=-0.0727, t=-5.50, p=0.032)","0.4064 ± 0.0135 → 0.4006 ± 0.0169 (Δ=-0.0058, t=-0.48, p=0.676)"
UNet,WHU,Massachusetts,"0.5752 ± 0.0088 → 0.6304 ± 0.0100 (Δ=+0.0552, t=7.44, p=0.018)","0.3496 ± 0.0247 → 0.3587 ± 0.0211 (Δ=+0.0090, t=0.53, p=0.651)","0.4347 ± 0.0216 → 0.4571 ± 0.0199 (Δ=+0.0224, t=1.42, p=0.292)"
UNet,WHU,WHU Test,"0.9108 ± 0.0054 → 0.9186 ± 0.0049 (Δ=+0.0078, t=1.37, p=0.304)","0.8873 ± 0.0045 → 0.8967 ± 0.0028 (Δ=+0.0095, t=2.51, p=0.129)","0.8989 ± 0.0006 → 0.9075 ± 0.0025 (Δ=+0.0087, t=6.52, p=0.023)"
UNet,WHU,austin,"0.6917 ± 0.0048 → 0.7481 ± 0.0055 (Δ=+0.0564, t=53.09, p=0.000)","0.6239 ± 0.0052 → 0.6128 ± 0.0081 (Δ=-0.0110, t=-4.25, p=0.051)","0.6560 ± 0.0040 → 0.6738 ± 0.0070 (Δ=+0.0177, t=10.15, p=0.010)"
UNet,WHU,chicago,"0.4507 ± 0.0132 → 0.5019 ± 0.0239 (Δ=+0.0512, t=3.01, p=0.095)","0.2641 ± 0.0211 → 0.2707 ± 0.0394 (Δ=+0.0065, t=0.21, p=0.856)","0.3329 ± 0.0202 → 0.3511 ± 0.0394 (Δ=+0.0182, t=0.59, p=0.613)"
UNet,WHU,kitsap,"0.5786 ± 0.0991 → 0.7079 ± 0.0178 (Δ=+0.1293, t=2.27, p=0.152)","0.6202 ± 0.0062 → 0.6106 ± 0.0024 (Δ=-0.0096, t=-3.97, p=0.058)","0.5959 ± 0.0567 → 0.6556 ± 0.0063 (Δ=+0.0597, t=1.85, p=0.206)"
UNet,WHU,overall,"0.5662 ± 0.0102 → 0.6251 ± 0.0018 (Δ=+0.0589, t=9.07, p=0.012)","0.4439 ± 0.0093 → 0.4423 ± 0.0219 (Δ=-0.0016, t=-0.10, p=0.928)","0.4977 ± 0.0095 → 0.5178 ± 0.0145 (Δ=+0.0202, t=1.85, p=0.206)"
UNet,WHU,tyrol-w,"0.5839 ± 0.0174 → 0.6479 ± 0.0371 (Δ=+0.0640, t=2.25, p=0.153)","0.6734 ± 0.0192 → 0.6713 ± 0.0161 (Δ=-0.0021, t=-0.12, p=0.912)","0.6254 ± 0.0183 → 0.6588 ± 0.0166 (Δ=+0.0334, t=1.72, p=0.228)"
UNet,WHU,vienna,"0.5996 ± 0.0069 → 0.6580 ± 0.0113 (Δ=+0.0584, t=5.56, p=0.031)","0.5657 ± 0.0059 → 0.5557 ± 0.0012 (Δ=-0.0100, t=-3.60, p=0.069)","0.5822 ± 0.0059 → 0.6025 ± 0.0040 (Δ=+0.0204, t=3.59, p=0.069)"
UPerNet,Massachusetts,Massachusetts,"0.8474 ± 0.0072 → 0.8555 ± 0.0025 (Δ=+0.0082, t=2.31, p=0.148)","0.8224 ± 0.0113 → 0.8323 ± 0.0149 (Δ=+0.0099, t=1.93, p=0.194)","0.8347 ± 0.0093 → 0.8437 ± 0.0077 (Δ=+0.0090, t=3.62, p=0.069)"
UPerNet,Massachusetts,WHU Test,"0.5744 ± 0.0126 → 0.6342 ± 0.0134 (Δ=+0.0598, t=12.11, p=0.007)","0.6188 ± 0.0050 → 0.6694 ± 0.0195 (Δ=+0.0506, t=5.95, p=0.027)","0.5957 ± 0.0055 → 0.6510 ± 0.0021 (Δ=+0.0553, t=12.99, p=0.006)"
UPerNet,Massachusetts,austin,"0.3140 ± 0.0434 → 0.3745 ± 0.0428 (Δ=+0.0605, t=2.55, p=0.126)","0.4626 ± 0.0395 → 0.4673 ± 0.0454 (Δ=+0.0047, t=0.16, p=0.891)","0.3711 ± 0.0206 → 0.4154 ± 0.0418 (Δ=+0.0443, t=1.93, p=0.193)"
UPerNet,Massachusetts,chicago,"0.2782 ± 0.0182 → 0.3625 ± 0.0182 (Δ=+0.0843, t=4.03, p=0.056)","0.2181 ± 0.0142 → 0.2978 ± 0.0130 (Δ=+0.0797, t=5.52, p=0.031)","0.2442 ± 0.0129 → 0.3265 ± 0.0060 (Δ=+0.0823, t=7.61, p=0.017)"
UPerNet,Massachusetts,kitsap,"0.1479 ± 0.0514 → 0.2785 ± 0.1277 (Δ=+0.1306, t=1.32, p=0.319)","0.4505 ± 0.0861 → 0.4172 ± 0.0366 (Δ=-0.0333, t=-0.73, p=0.544)","0.2164 ± 0.0525 → 0.3239 ± 0.0878 (Δ=+0.1075, t=1.42, p=0.291)"
UPerNet,Massachusetts,overall,"0.3066 ± 0.0334 → 0.3848 ± 0.0122 (Δ=+0.0782, t=3.48, p=0.073)","0.3544 ± 0.0232 → 0.3869 ± 0.0120 (Δ=+0.0325, t=1.96, p=0.189)","0.3275 ± 0.0170 → 0.3857 ± 0.0084 (Δ=+0.0582, t=9.10, p=0.012)"
UPerNet,Massachusetts,tyrol-w,"0.4895 ± 0.0265 → 0.5424 ± 0.0258 (Δ=+0.0530, t=19.69, p=0.003)","0.5734 ± 0.0115 → 0.5276 ± 0.0187 (Δ=-0.0458, t=-2.62, p=0.120)","0.5276 ± 0.0118 → 0.5349 ± 0.0220 (Δ=+0.0072, t=0.98, p=0.431)"
UPerNet,Massachusetts,vienna,"0.3421 ± 0.0345 → 0.4212 ± 0.0242 (Δ=+0.0791, t=7.49, p=0.017)","0.4674 ± 0.0358 → 0.4557 ± 0.0189 (Δ=-0.0117, t=-0.39, p=0.732)","0.3948 ± 0.0333 → 0.4372 ± 0.0113 (Δ=+0.0424, t=3.09, p=0.091)"
UPerNet,WHU,Massachusetts,"0.5790 ± 0.0092 → 0.6416 ± 0.0135 (Δ=+0.0626, t=4.93, p=0.039)","0.4037 ± 0.0116 → 0.3892 ± 0.0289 (Δ=-0.0145, t=-1.04, p=0.409)","0.4757 ± 0.0106 → 0.4842 ± 0.0250 (Δ=+0.0085, t=0.61, p=0.604)"
UPerNet,WHU,WHU Test,"0.9063 ± 0.0022 → 0.9132 ± 0.0066 (Δ=+0.0069, t=1.53, p=0.266)","0.8946 ± 0.0026 → 0.9019 ± 0.0021 (Δ=+0.0072, t=2.79, p=0.108)","0.9004 ± 0.0021 → 0.9075 ± 0.0041 (Δ=+0.0071, t=2.00, p=0.183)"
UPerNet,WHU,austin,"0.6807 ± 0.0108 → 0.7356 ± 0.0234 (Δ=+0.0549, t=2.93, p=0.100)","0.6238 ± 0.0144 → 0.6081 ± 0.0069 (Δ=-0.0157, t=-1.27, p=0.331)","0.6509 ± 0.0099 → 0.6657 ± 0.0127 (Δ=+0.0148, t=1.14, p=0.373)"
UPerNet,WHU,chicago,"0.4558 ± 0.0099 → 0.5014 ± 0.0180 (Δ=+0.0456, t=3.27, p=0.082)","0.2705 ± 0.0155 → 0.3044 ± 0.0364 (Δ=+0.0339, t=1.15, p=0.370)","0.3394 ± 0.0133 → 0.3784 ± 0.0332 (Δ=+0.0390, t=1.49, p=0.275)"
UPerNet,WHU,kitsap,"0.6150 ± 0.0281 → 0.6904 ± 0.0327 (Δ=+0.0754, t=2.89, p=0.102)","0.6244 ± 0.0075 → 0.6148 ± 0.0058 (Δ=-0.0096, t=-1.31, p=0.321)","0.6195 ± 0.0174 → 0.6502 ± 0.0149 (Δ=+0.0306, t=2.14, p=0.166)"
UPerNet,WHU,overall,"0.5671 ± 0.0078 → 0.6079 ± 0.0142 (Δ=+0.0408, t=3.42, p=0.076)","0.4465 ± 0.0090 → 0.4585 ± 0.0180 (Δ=+0.0121, t=0.81, p=0.504)","0.4995 ± 0.0066 → 0.5226 ± 0.0138 (Δ=+0.0231, t=2.06, p=0.175)"
UPerNet,WHU,tyrol-w,"0.5867 ± 0.0070 → 0.6312 ± 0.0320 (Δ=+0.0445, t=2.24, p=0.155)","0.6833 ± 0.0101 → 0.6790 ± 0.0063 (Δ=-0.0044, t=-0.51, p=0.662)","0.6313 ± 0.0055 → 0.6540 ± 0.0199 (Δ=+0.0227, t=1.56, p=0.259)"
UPerNet,WHU,vienna,"0.5988 ± 0.0159 → 0.6278 ± 0.0298 (Δ=+0.0290, t=1.10, p=0.386)","0.5574 ± 0.0084 → 0.5566 ± 0.0095 (Δ=-0.0008, t=-0.09, p=0.936)","0.5773 ± 0.0105 → 0.5900 ± 0.0185 (Δ=+0.0126, t=0.76, p=0.525)"
