name,training_dataset,dataset,instance_precision,instance_recall,instance_f1
DeepLabV3+,Massachusetts,Massachusetts,"0.8438 ± 0.0038 → 0.8593 ± 0.0008 (Δ=+0.0155, t=6.27, p=0.024)","0.8201 ± 0.0096 → 0.8408 ± 0.0049 (Δ=+0.0207, t=3.23, p=0.084)","0.8318 ± 0.0067 → 0.8499 ± 0.0023 (Δ=+0.0182, t=4.08, p=0.055)"
DeepLabV3+,Massachusetts,WHU Test,"0.5950 ± 0.0079 → 0.6064 ± 0.0505 (Δ=+0.0113, t=0.35, p=0.758)","0.6536 ± 0.0139 → 0.6041 ± 0.0238 (Δ=-0.0494, t=-4.86, p=0.040)","0.6228 ± 0.0058 → 0.6046 ± 0.0316 (Δ=-0.0182, t=-0.88, p=0.473)"
DeepLabV3+,Massachusetts,austin,"0.2939 ± 0.0208 → 0.3857 ± 0.0413 (Δ=+0.0918, t=6.88, p=0.021)","0.4979 ± 0.0045 → 0.4604 ± 0.0351 (Δ=-0.0375, t=-2.08, p=0.173)","0.3693 ± 0.0160 → 0.4184 ± 0.0261 (Δ=+0.0492, t=8.30, p=0.014)"
DeepLabV3+,Massachusetts,chicago,"0.2843 ± 0.0021 → 0.3404 ± 0.0349 (Δ=+0.0561, t=2.69, p=0.115)","0.2133 ± 0.0283 → 0.2350 ± 0.0151 (Δ=+0.0217, t=0.99, p=0.427)","0.2431 ± 0.0192 → 0.2780 ± 0.0219 (Δ=+0.0348, t=1.63, p=0.246)"
DeepLabV3+,Massachusetts,kitsap,"0.1367 ± 0.0359 → 0.1384 ± 0.0742 (Δ=+0.0018, t=0.03, p=0.980)","0.5492 ± 0.0106 → 0.4105 ± 0.0769 (Δ=-0.1386, t=-2.74, p=0.111)","0.2175 ± 0.0481 → 0.2037 ± 0.0937 (Δ=-0.0137, t=-0.17, p=0.881)"
DeepLabV3+,Massachusetts,overall,"0.3029 ± 0.0203 → 0.3701 ± 0.0346 (Δ=+0.0672, t=3.97, p=0.058)","0.3688 ± 0.0192 → 0.3536 ± 0.0094 (Δ=-0.0152, t=-0.95, p=0.441)","0.3320 ± 0.0115 → 0.3613 ± 0.0204 (Δ=+0.0293, t=1.93, p=0.193)"
DeepLabV3+,Massachusetts,tyrol-w,"0.4161 ± 0.0804 → 0.5273 ± 0.0330 (Δ=+0.1112, t=3.03, p=0.094)","0.5646 ± 0.0301 → 0.5153 ± 0.0043 (Δ=-0.0493, t=-2.92, p=0.100)","0.4743 ± 0.0476 → 0.5208 ± 0.0145 (Δ=+0.0465, t=2.01, p=0.182)"
DeepLabV3+,Massachusetts,vienna,"0.3949 ± 0.0142 → 0.4972 ± 0.0432 (Δ=+0.1023, t=5.79, p=0.029)","0.5029 ± 0.0221 → 0.4543 ± 0.0079 (Δ=-0.0486, t=-3.26, p=0.083)","0.4421 ± 0.0100 → 0.4739 ± 0.0164 (Δ=+0.0318, t=5.40, p=0.033)"
DeepLabV3+,WHU,Massachusetts,"0.5360 ± 0.0402 → 0.6235 ± 0.0286 (Δ=+0.0876, t=10.10, p=0.010)","0.3539 ± 0.0577 → 0.3666 ± 0.0439 (Δ=+0.0127, t=0.52, p=0.654)","0.4257 ± 0.0549 → 0.4613 ± 0.0421 (Δ=+0.0356, t=1.75, p=0.221)"
DeepLabV3+,WHU,WHU Test,"0.8916 ± 0.0107 → 0.9142 ± 0.0027 (Δ=+0.0226, t=3.39, p=0.077)","0.8872 ± 0.0118 → 0.8957 ± 0.0105 (Δ=+0.0085, t=4.21, p=0.052)","0.8894 ± 0.0112 → 0.9048 ± 0.0051 (Δ=+0.0154, t=4.42, p=0.048)"
