,name,training_dataset,dataset,instance_precision,instance_recall,instance_f1
62,UNet + CFENet,WHU,tyrol-w,0.7140 ± 0.0414,0.7398 ± 0.0155,0.7260 ± 0.0181
63,UNet + CFENet,WHU,vienna,0.7199 ± 0.0134,0.6080 ± 0.0005,0.6592 ± 0.0053
64,UPerNet,Massachusetts,Massachusetts,0.9125 ± 0.0028,0.8856 ± 0.0073,0.8989 ± 0.0051
65,UPerNet,Massachusetts,WHU Test,0.6581 ± 0.0144,0.7095 ± 0.0054,0.6828 ± 0.0061
66,UPerNet,Massachusetts,austin,0.4179 ± 0.0614,0.6147 ± 0.0459,0.4936 ± 0.0320
67,UPerNet,Massachusetts,chicago,0.4279 ± 0.0211,0.3353 ± 0.0140,0.3756 ± 0.0084
68,UPerNet,Massachusetts,kitsap,0.1939 ± 0.0714,0.5825 ± 0.0757,0.2830 ± 0.0754
69,UPerNet,Massachusetts,overall,0.4103 ± 0.0451,0.4739 ± 0.0232,0.4381 ± 0.0202
70,UPerNet,Massachusetts,tyrol-w,0.5772 ± 0.0315,0.6761 ± 0.0126,0.6222 ± 0.0137
71,UPerNet,Massachusetts,vienna,0.4084 ± 0.0322,0.5583 ± 0.0249,0.4713 ± 0.0268
72,UPerNet,WHU,Massachusetts,0.7515 ± 0.0045,0.5240 ± 0.0115,0.6174 ± 0.0087
73,UPerNet,WHU,WHU Test,0.9247 ± 0.0018,0.9139 ± 0.0022,0.9193 ± 0.0016
74,UPerNet,WHU,austin,0.7674 ± 0.0093,0.7033 ± 0.0119,0.7339 ± 0.0049
75,UPerNet,WHU,chicago,0.6560 ± 0.0074,0.3894 ± 0.0232,0.4885 ± 0.0193
76,UPerNet,WHU,kitsap,0.6832 ± 0.0316,0.6936 ± 0.0067,0.6882 ± 0.0192
77,UPerNet,WHU,overall,0.6860 ± 0.0033,0.5402 ± 0.0129,0.6044 ± 0.0084
78,UPerNet,WHU,tyrol-w,0.6555 ± 0.0070,0.7636 ± 0.0140,0.7054 ± 0.0076
79,UPerNet,WHU,vienna,0.6572 ± 0.0127,0.6118 ± 0.0054,0.6337 ± 0.0064
80,UPerNet + CFENet,Massachusetts,Massachusetts,0.9174 ± 0.0041,0.8925 ± 0.0125,0.9047 ± 0.0047
81,UPerNet + CFENet,Massachusetts,WHU Test,0.7052 ± 0.0189,0.7449 ± 0.0174,0.7242 ± 0.0025
82,UPerNet + CFENet,Massachusetts,austin,0.4801 ± 0.0456,0.5993 ± 0.0471,0.5326 ± 0.0427
83,UPerNet + CFENet,Massachusetts,chicago,0.5238 ± 0.0251,0.4305 ± 0.0236,0.4720 ± 0.0141
84,UPerNet + CFENet,Massachusetts,kitsap,0.3516 ± 0.1591,0.5267 ± 0.0341,0.4090 ± 0.1083
85,UPerNet + CFENet,Massachusetts,overall,0.5043 ± 0.0130,0.5071 ± 0.0123,0.5055 ± 0.0053
86,UPerNet + CFENet,Massachusetts,tyrol-w,0.6417 ± 0.0223,0.6243 ± 0.0147,0.6328 ± 0.0180
87,UPerNet + CFENet,Massachusetts,vienna,0.4996 ± 0.0319,0.5407 ± 0.0160,0.5186 ± 0.0130
88,UPerNet + CFENet,WHU,Massachusetts,0.8045 ± 0.0236,0.4882 ± 0.0407,0.6073 ± 0.0369
89,UPerNet + CFENet,WHU,WHU Test,0.9300 ± 0.0061,0.9194 ± 0.0012,0.9247 ± 0.0035
90,UPerNet + CFENet,WHU,austin,0.8198 ± 0.0270,0.6777 ± 0.0077,0.7420 ± 0.0148
91,UPerNet + CFENet,WHU,chicago,0.7089 ± 0.0194,0.4304 ± 0.0496,0.5349 ± 0.0443
92,UPerNet + CFENet,WHU,kitsap,0.7660 ± 0.0391,0.6820 ± 0.0050,0.7213 ± 0.0187
93,UPerNet + CFENet,WHU,overall,0.7325 ± 0.0136,0.5526 ± 0.0239,0.6298 ± 0.0179
94,UPerNet + CFENet,WHU,tyrol-w,0.6973 ± 0.0328,0.7502 ± 0.0053,0.7226 ± 0.0195
95,UPerNet + CFENet,WHU,vienna,0.6888 ± 0.0286,0.6108 ± 0.0068,0.6473 ± 0.0165
