,name,training_dataset,dataset,instance_precision,instance_recall,instance_f1
0,DeepLabV3+,Massachusetts,Massachusetts,0.9078 ± 0.0015,0.8823 ± 0.0072,0.8949 ± 0.0041
1,DeepLabV3+,Massachusetts,WHU Test,0.6708 ± 0.0087,0.7373 ± 0.0130,0.7024 ± 0.0027
2,DeepLabV3+,Massachusetts,austin,0.3827 ± 0.0265,0.6484 ± 0.0051,0.4809 ± 0.0200
3,DeepLabV3+,Massachusetts,chicago,0.4327 ± 0.0088,0.3250 ± 0.0457,0.3702 ± 0.0327
4,DeepLabV3+,Massachusetts,kitsap,0.1647 ± 0.0418,0.6628 ± 0.0083,0.2621 ± 0.0555
5,DeepLabV3+,Massachusetts,overall,0.3953 ± 0.0244,0.4817 ± 0.0278,0.4335 ± 0.0145
6,DeepLabV3+,Massachusetts,tyrol-w,0.4870 ± 0.0942,0.6607 ± 0.0343,0.5551 ± 0.0555
7,DeepLabV3+,Massachusetts,vienna,0.4556 ± 0.0188,0.5803 ± 0.0195,0.5101 ± 0.0098
8,DeepLabV3+,WHU,Massachusetts,0.6996 ± 0.0410,0.4616 ± 0.0683,0.5554 ± 0.0629
9,DeepLabV3+,WHU,WHU Test,0.9125 ± 0.0075,0.9088 ± 0.0084,0.9106 ± 0.0079
10,DeepLabV3+,WHU,austin,0.7356 ± 0.0246,0.6659 ± 0.0288,0.6990 ± 0.0266
11,DeepLabV3+,WHU,chicago,0.6022 ± 0.0334,0.3659 ± 0.0380,0.4549 ± 0.0375
12,DeepLabV3+,WHU,kitsap,0.3854 ± 0.2142,0.6776 ± 0.0047,0.4676 ± 0.1779
13,DeepLabV3+,WHU,overall,0.5360 ± 0.0483,0.5139 ± 0.0273,0.5246 ± 0.0373
14,DeepLabV3+,WHU,tyrol-w,0.2985 ± 0.0748,0.7302 ± 0.0340,0.4212 ± 0.0818
15,DeepLabV3+,WHU,vienna,0.5883 ± 0.0685,0.5936 ± 0.0110,0.5899 ± 0.0406
16,DeepLabV3+ + CFENet,Massachusetts,Massachusetts,0.9177 ± 0.0017,0.8980 ± 0.0058,0.9077 ± 0.0032
17,DeepLabV3+ + CFENet,Massachusetts,WHU Test,0.6837 ± 0.0487,0.6820 ± 0.0217,0.6822 ± 0.0266
18,DeepLabV3+ + CFENet,Massachusetts,austin,0.4879 ± 0.0478,0.5828 ± 0.0423,0.5295 ± 0.0273
19,DeepLabV3+ + CFENet,Massachusetts,chicago,0.5010 ± 0.0560,0.3458 ± 0.0250,0.4090 ± 0.0358
20,DeepLabV3+ + CFENet,Massachusetts,kitsap,0.1695 ± 0.0866,0.5062 ± 0.0799,0.2498 ± 0.1083
21,DeepLabV3+ + CFENet,Massachusetts,overall,0.4786 ± 0.0464,0.4573 ± 0.0116,0.4673 ± 0.0274
22,DeepLabV3+ + CFENet,Massachusetts,tyrol-w,0.6232 ± 0.0418,0.6090 ± 0.0090,0.6155 ± 0.0207
23,DeepLabV3+ + CFENet,Massachusetts,vienna,0.5711 ± 0.0520,0.5222 ± 0.0077,0.5446 ± 0.0214
24,DeepLabV3+ + CFENet,WHU,Massachusetts,0.7791 ± 0.0265,0.4578 ± 0.0488,0.5762 ± 0.0452
25,DeepLabV3+ + CFENet,WHU,WHU Test,0.9316 ± 0.0033,0.9136 ± 0.0092,0.9225 ± 0.0038
26,DeepLabV3+ + CFENet,WHU,austin,0.8221 ± 0.0229,0.6549 ± 0.0142,0.7290 ± 0.0178
27,DeepLabV3+ + CFENet,WHU,chicago,0.7138 ± 0.0268,0.4224 ± 0.0551,0.5293 ± 0.0461
28,DeepLabV3+ + CFENet,WHU,kitsap,0.8184 ± 0.0210,0.6612 ± 0.0096,0.7314 ± 0.0134
29,DeepLabV3+ + CFENet,WHU,overall,0.7371 ± 0.0316,0.5352 ± 0.0221,0.6196 ± 0.0143
30,DeepLabV3+ + CFENet,WHU,tyrol-w,0.7203 ± 0.0184,0.6970 ± 0.0169,0.7084 ± 0.0168
31,DeepLabV3+ + CFENet,WHU,vienna,0.6783 ± 0.0642,0.5922 ± 0.0040,0.6315 ± 0.0306
32,UNet,Massachusetts,Massachusetts,0.9100 ± 0.0106,0.8625 ± 0.0146,0.8856 ± 0.0112
33,UNet,Massachusetts,WHU Test,0.6323 ± 0.0472,0.7214 ± 0.0135,0.6730 ± 0.0218
34,UNet,Massachusetts,austin,0.3589 ± 0.0748,0.6235 ± 0.0339,0.4538 ± 0.0694
35,UNet,Massachusetts,chicago,0.4338 ± 0.0654,0.3341 ± 0.0496,0.3773 ± 0.0558
36,UNet,Massachusetts,kitsap,0.2031 ± 0.0664,0.5876 ± 0.0218,0.2975 ± 0.0738
37,UNet,Massachusetts,overall,0.3966 ± 0.0670,0.4766 ± 0.0282,0.4320 ± 0.0514
38,UNet,Massachusetts,tyrol-w,0.5373 ± 0.0875,0.6795 ± 0.0214,0.5979 ± 0.0627
39,UNet,Massachusetts,vienna,0.4192 ± 0.0273,0.5634 ± 0.0080,0.4803 ± 0.0158
40,UNet,WHU,Massachusetts,0.7740 ± 0.0074,0.4703 ± 0.0300,0.5848 ± 0.0252
41,UNet,WHU,WHU Test,0.9305 ± 0.0056,0.9072 ± 0.0045,0.9187 ± 0.0004
42,UNet,WHU,austin,0.7772 ± 0.0054,0.7012 ± 0.0020,0.7372 ± 0.0017
43,UNet,WHU,chicago,0.6609 ± 0.0197,0.3874 ± 0.0313,0.4882 ± 0.0301
44,UNet,WHU,kitsap,0.6397 ± 0.1039,0.6865 ± 0.0049,0.6591 ± 0.0566
45,UNet,WHU,overall,0.6878 ± 0.0143,0.5394 ± 0.0145,0.6046 ± 0.0144
46,UNet,WHU,tyrol-w,0.6543 ± 0.0123,0.7546 ± 0.0129,0.7009 ± 0.0126
47,UNet,WHU,vienna,0.6578 ± 0.0056,0.6207 ± 0.0053,0.6387 ± 0.0047
48,UNet + CFENet,Massachusetts,Massachusetts,0.9172 ± 0.0072,0.8810 ± 0.0116,0.8987 ± 0.0054
49,UNet + CFENet,Massachusetts,WHU Test,0.6463 ± 0.0217,0.6667 ± 0.0181,0.6563 ± 0.0191
50,UNet + CFENet,Massachusetts,austin,0.4114 ± 0.1069,0.5178 ± 0.0192,0.4533 ± 0.0686
51,UNet + CFENet,Massachusetts,chicago,0.4944 ± 0.0686,0.3631 ± 0.0885,0.4172 ± 0.0814
52,UNet + CFENet,Massachusetts,kitsap,0.1848 ± 0.0748,0.4547 ± 0.0686,0.2533 ± 0.0710
53,UNet + CFENet,Massachusetts,overall,0.4444 ± 0.0812,0.4396 ± 0.0331,0.4409 ± 0.0555
54,UNet + CFENet,Massachusetts,tyrol-w,0.5575 ± 0.0581,0.5516 ± 0.0313,0.5542 ± 0.0426
55,UNet + CFENet,Massachusetts,vienna,0.4852 ± 0.0162,0.4932 ± 0.0266,0.4890 ± 0.0178
56,UNet + CFENet,WHU,Massachusetts,0.8152 ± 0.0081,0.4637 ± 0.0243,0.5910 ± 0.0219
57,UNet + CFENet,WHU,WHU Test,0.9355 ± 0.0045,0.9142 ± 0.0024,0.9247 ± 0.0019
58,UNet + CFENet,WHU,austin,0.8258 ± 0.0008,0.6765 ± 0.0051,0.7437 ± 0.0032
59,UNet + CFENet,WHU,chicago,0.7149 ± 0.0261,0.3852 ± 0.0514,0.4999 ± 0.0499
60,UNet + CFENet,WHU,kitsap,0.7871 ± 0.0250,0.6788 ± 0.0020,0.7289 ± 0.0117
61,UNet + CFENet,WHU,overall,0.7475 ± 0.0060,0.5290 ± 0.0269,0.6193 ± 0.0184
