name,training_dataset,dataset,under_seg_ratio,over_seg_ratio,avg_under_severity,avg_over_severity
DeepLabV3+,WHU,overall,"0.1369 ± 0.0035 → 0.1215 ± 0.0089 (Δ=-0.0153, t=-2.23, p=0.155)","0.0224 ± 0.0027 → 0.0214 ± 0.0039 (Δ=-0.0011, t=-0.68, p=0.567)","1.5637 ± 0.0298 → 1.5534 ± 0.0218 (Δ=-0.0103, t=-0.36, p=0.752)","1.0605 ± 0.0016 → 1.0531 ± 0.0094 (Δ=-0.0074, t=-1.37, p=0.305)"
DeepLabV3+,WHU,tyrol-w,"0.0663 ± 0.0119 → 0.0456 ± 0.0113 (Δ=-0.0207, t=-7.03, p=0.020)","0.0374 ± 0.0022 → 0.0406 ± 0.0014 (Δ=+0.0032, t=3.13, p=0.089)","1.1800 ± 0.0112 → 1.1716 ± 0.0128 (Δ=-0.0083, t=-0.75, p=0.532)","1.0694 ± 0.0374 → 1.0630 ± 0.0165 (Δ=-0.0064, t=-0.27, p=0.810)"
DeepLabV3+,WHU,vienna,"0.0261 ± 0.0045 → 0.0210 ± 0.0079 (Δ=-0.0051, t=-1.59, p=0.253)","0.0535 ± 0.0112 → 0.0503 ± 0.0152 (Δ=-0.0032, t=-0.74, p=0.537)","1.1567 ± 0.0269 → 1.2171 ± 0.0389 (Δ=+0.0604, t=2.30, p=0.148)","1.0849 ± 0.0204 → 1.0634 ± 0.0171 (Δ=-0.0216, t=-5.03, p=0.037)"
UNet,Massachusetts,Massachusetts,"0.0533 ± 0.0093 → 0.0445 ± 0.0043 (Δ=-0.0088, t=-2.49, p=0.131)","0.0112 ± 0.0007 → 0.0117 ± 0.0008 (Δ=+0.0005, t=5.22, p=0.035)","1.2518 ± 0.0113 → 1.2341 ± 0.0280 (Δ=-0.0177, t=-1.68, p=0.235)","1.0618 ± 0.0080 → 1.0893 ± 0.0276 (Δ=+0.0275, t=1.82, p=0.210)"
UNet,Massachusetts,WHU Test,"0.0726 ± 0.0046 → 0.0857 ± 0.0359 (Δ=+0.0131, t=0.58, p=0.619)","0.0171 ± 0.0019 → 0.0157 ± 0.0061 (Δ=-0.0014, t=-0.31, p=0.787)","1.1770 ± 0.0300 → 1.1968 ± 0.0439 (Δ=+0.0198, t=0.80, p=0.507)","1.0295 ± 0.0017 → 1.0288 ± 0.0032 (Δ=-0.0007, t=-0.48, p=0.679)"
UNet,Massachusetts,austin,"0.0633 ± 0.0036 → 0.0679 ± 0.0577 (Δ=+0.0045, t=0.13, p=0.910)","0.0279 ± 0.0077 → 0.0270 ± 0.0083 (Δ=-0.0009, t=-0.10, p=0.932)","1.2071 ± 0.0351 → 1.2258 ± 0.0272 (Δ=+0.0187, t=0.63, p=0.595)","1.0071 ± 0.0076 → 1.0151 ± 0.0059 (Δ=+0.0079, t=1.26, p=0.334)"
UNet,Massachusetts,chicago,"0.3192 ± 0.0267 → 0.2940 ± 0.0421 (Δ=-0.0252, t=-1.34, p=0.313)","0.0087 ± 0.0018 → 0.0118 ± 0.0052 (Δ=+0.0030, t=1.48, p=0.278)","1.6334 ± 0.0279 → 1.6089 ± 0.0334 (Δ=-0.0244, t=-7.54, p=0.017)","1.0310 ± 0.0193 → 1.0400 ± 0.0191 (Δ=+0.0090, t=15.81, p=0.004)"
UNet,Massachusetts,kitsap,"0.0124 ± 0.0022 → 0.0120 ± 0.0080 (Δ=-0.0004, t=-0.08, p=0.942)","0.0159 ± 0.0055 → 0.0204 ± 0.0020 (Δ=+0.0045, t=1.98, p=0.186)","1.0000 ± 0.0000 → 1.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)","1.0000 ± 0.0000 → 1.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
UNet,Massachusetts,overall,"0.1508 ± 0.0059 → 0.1546 ± 0.0235 (Δ=+0.0038, t=0.25, p=0.824)","0.0240 ± 0.0018 → 0.0238 ± 0.0061 (Δ=-0.0002, t=-0.04, p=0.969)","1.5295 ± 0.0237 → 1.5178 ± 0.0237 (Δ=-0.0117, t=-0.45, p=0.699)","1.0560 ± 0.0158 → 1.0451 ± 0.0185 (Δ=-0.0109, t=-0.60, p=0.608)"
UNet,Massachusetts,tyrol-w,"0.0874 ± 0.0076 → 0.0905 ± 0.0298 (Δ=+0.0030, t=0.15, p=0.894)","0.0295 ± 0.0028 → 0.0318 ± 0.0110 (Δ=+0.0023, t=0.30, p=0.793)","1.2289 ± 0.0510 → 1.2099 ± 0.0267 (Δ=-0.0190, t=-0.97, p=0.433)","1.0465 ± 0.0126 → 1.0234 ± 0.0073 (Δ=-0.0232, t=-2.74, p=0.111)"
