name,training_dataset,dataset,pos_iou,precision,recall,f1,accuracy,neg_iou,mean_iou,boundary_iou,threshold
UNet,Massachusetts,austin,"0.5332 ± 0.0322 → 0.4826 ± 0.0163 (Δ=-0.0506, t=-1.90, p=0.197)","0.7474 ± 0.0335 → 0.7694 ± 0.1254 (Δ=+0.0219, t=0.30, p=0.796)","0.6498 ± 0.0227 → 0.5835 ± 0.1041 (Δ=-0.0663, t=-1.07, p=0.395)","0.6952 ± 0.0274 → 0.6509 ± 0.0149 (Δ=-0.0442, t=-1.91, p=0.196)","0.9240 ± 0.0072 → 0.9169 ± 0.0113 (Δ=-0.0070, t=-0.85, p=0.486)","0.9167 ± 0.0076 → 0.9098 ± 0.0137 (Δ=-0.0070, t=-0.73, p=0.540)","0.7250 ± 0.0199 → 0.6962 ± 0.0076 (Δ=-0.0288, t=-1.82, p=0.210)","0.5332 ± 0.0322 → 0.4826 ± 0.0163 (Δ=-0.0506, t=-1.90, p=0.197)","0.4433 ± 0.0153 → 0.4767 ± 0.0321 (Δ=+0.0333, t=1.25, p=0.338)"
UNet,Massachusetts,chicago,"0.5643 ± 0.0085 → 0.5633 ± 0.0121 (Δ=-0.0010, t=-0.48, p=0.681)","0.6666 ± 0.0327 → 0.6994 ± 0.0384 (Δ=+0.0328, t=1.56, p=0.259)","0.7884 ± 0.0342 → 0.7473 ± 0.0569 (Δ=-0.0411, t=-1.46, p=0.281)","0.7214 ± 0.0070 → 0.7206 ± 0.0099 (Δ=-0.0009, t=-0.49, p=0.675)","0.8766 ± 0.0081 → 0.8827 ± 0.0070 (Δ=+0.0061, t=1.70, p=0.232)","0.8531 ± 0.0106 → 0.8617 ± 0.0098 (Δ=+0.0086, t=1.66, p=0.239)","0.7087 ± 0.0090 → 0.7125 ± 0.0074 (Δ=+0.0038, t=2.46, p=0.133)","0.5633 ± 0.0086 → 0.5624 ± 0.0117 (Δ=-0.0009, t=-0.49, p=0.674)","0.4433 ± 0.0153 → 0.4767 ± 0.0321 (Δ=+0.0333, t=1.25, p=0.338)"
UNet,Massachusetts,kitsap,"0.3722 ± 0.0808 → 0.2880 ± 0.0301 (Δ=-0.0843, t=-1.86, p=0.205)","0.5225 ± 0.1466 → 0.5078 ± 0.1720 (Δ=-0.0147, t=-0.13, p=0.908)","0.5737 ± 0.0333 → 0.4320 ± 0.0839 (Δ=-0.1417, t=-4.73, p=0.042)","0.5390 ± 0.0890 → 0.4466 ± 0.0360 (Δ=-0.0924, t=-1.84, p=0.207)","0.9795 ± 0.0076 → 0.9781 ± 0.0069 (Δ=-0.0014, t=-0.23, p=0.838)","0.9793 ± 0.0077 → 0.9779 ± 0.0070 (Δ=-0.0014, t=-0.22, p=0.845)","0.6758 ± 0.0443 → 0.6329 ± 0.0182 (Δ=-0.0428, t=-1.66, p=0.239)","0.3722 ± 0.0808 → 0.2880 ± 0.0301 (Δ=-0.0843, t=-1.86, p=0.205)","0.4433 ± 0.0153 → 0.4767 ± 0.0321 (Δ=+0.0333, t=1.25, p=0.338)"
UNet,Massachusetts,overall,"0.5791 ± 0.0128 → 0.5590 ± 0.0112 (Δ=-0.0201, t=-4.49, p=0.046)","0.7293 ± 0.0325 → 0.7432 ± 0.0497 (Δ=+0.0138, t=0.45, p=0.699)","0.7385 ± 0.0138 → 0.6981 ± 0.0612 (Δ=-0.0403, t=-1.21, p=0.349)","0.7334 ± 0.0103 → 0.7171 ± 0.0093 (Δ=-0.0163, t=-4.56, p=0.045)","0.9259 ± 0.0051 → 0.9242 ± 0.0043 (Δ=-0.0017, t=-0.55, p=0.639)","0.9175 ± 0.0058 → 0.9161 ± 0.0055 (Δ=-0.0014, t=-0.36, p=0.752)","0.7483 ± 0.0092 → 0.7375 ± 0.0049 (Δ=-0.0107, t=-4.07, p=0.055)","0.5779 ± 0.0130 → 0.5578 ± 0.0111 (Δ=-0.0201, t=-4.38, p=0.048)","0.4433 ± 0.0153 → 0.4767 ± 0.0321 (Δ=+0.0333, t=1.25, p=0.338)"
UNet,Massachusetts,tyrol-w,"0.6323 ± 0.0162 → 0.5715 ± 0.0242 (Δ=-0.0608, t=-2.69, p=0.115)","0.7835 ± 0.0292 → 0.7887 ± 0.0469 (Δ=+0.0052, t=0.15, p=0.893)","0.7671 ± 0.0281 → 0.6800 ± 0.0705 (Δ=-0.0871, t=-1.58, p=0.254)","0.7746 ± 0.0121 → 0.7271 ± 0.0196 (Δ=-0.0475, t=-2.68, p=0.116)","0.9676 ± 0.0021 → 0.9632 ± 0.0002 (Δ=-0.0045, t=-3.47, p=0.074)","0.9657 ± 0.0022 → 0.9613 ± 0.0004 (Δ=-0.0045, t=-3.32, p=0.080)","0.7990 ± 0.0090 → 0.7664 ± 0.0119 (Δ=-0.0326, t=-2.80, p=0.107)","0.6323 ± 0.0162 → 0.5715 ± 0.0242 (Δ=-0.0608, t=-2.69, p=0.115)","0.4433 ± 0.0153 → 0.4767 ± 0.0321 (Δ=+0.0333, t=1.25, p=0.338)"
UNet,Massachusetts,vienna,"0.6232 ± 0.0043 → 0.6177 ± 0.0270 (Δ=-0.0055, t=-0.32, p=0.780)","0.7879 ± 0.0212 → 0.7854 ± 0.0110 (Δ=-0.0024, t=-0.19, p=0.866)","0.7498 ± 0.0254 → 0.7440 ± 0.0473 (Δ=-0.0057, t=-0.16, p=0.889)","0.7679 ± 0.0033 → 0.7635 ± 0.0207 (Δ=-0.0044, t=-0.33, p=0.770)","0.8817 ± 0.0018 → 0.8800 ± 0.0063 (Δ=-0.0017, t=-0.57, p=0.627)","0.8529 ± 0.0035 → 0.8511 ± 0.0057 (Δ=-0.0018, t=-0.84, p=0.491)","0.7381 ± 0.0005 → 0.7344 ± 0.0163 (Δ=-0.0037, t=-0.38, p=0.740)","0.6209 ± 0.0036 → 0.6152 ± 0.0269 (Δ=-0.0057, t=-0.33, p=0.771)","0.4433 ± 0.0153 → 0.4767 ± 0.0321 (Δ=+0.0333, t=1.25, p=0.338)"
UNet,WHU,austin,"0.6207 ± 0.0155 → 0.6560 ± 0.0043 (Δ=+0.0352, t=4.85, p=0.040)","0.8094 ± 0.0419 → 0.8836 ± 0.0061 (Δ=+0.0742, t=3.17, p=0.087)","0.7280 ± 0.0136 → 0.7180 ± 0.0019 (Δ=-0.0100, t=-1.14, p=0.374)","0.7659 ± 0.0118 → 0.7922 ± 0.0031 (Δ=+0.0263, t=4.75, p=0.042)","0.9406 ± 0.0048 → 0.9498 ± 0.0009 (Δ=+0.0092, t=3.70, p=0.066)","0.9342 ± 0.0054 → 0.9444 ± 0.0010 (Δ=+0.0103, t=3.63, p=0.068)","0.7775 ± 0.0104 → 0.8002 ± 0.0026 (Δ=+0.0228, t=4.51, p=0.046)","0.6208 ± 0.0155 → 0.6560 ± 0.0043 (Δ=+0.0352, t=4.85, p=0.040)","0.5033 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0167, t=0.94, p=0.444)"
UNet,WHU,chicago,"0.6152 ± 0.0124 → 0.6240 ± 0.0047 (Δ=+0.0088, t=1.28, p=0.330)","0.7389 ± 0.0165 → 0.7478 ± 0.0125 (Δ=+0.0089, t=0.64, p=0.586)","0.7866 ± 0.0273 → 0.7906 ± 0.0165 (Δ=+0.0040, t=0.16, p=0.888)","0.7617 ± 0.0095 → 0.7684 ± 0.0036 (Δ=+0.0068, t=1.27, p=0.331)","0.9003 ± 0.0036 → 0.9035 ± 0.0019 (Δ=+0.0032, t=2.49, p=0.131)","0.8814 ± 0.0043 → 0.8851 ± 0.0025 (Δ=+0.0036, t=1.92, p=0.195)","0.7483 ± 0.0077 → 0.7545 ± 0.0030 (Δ=+0.0062, t=1.91, p=0.197)","0.6135 ± 0.0126 → 0.6220 ± 0.0048 (Δ=+0.0085, t=1.23, p=0.344)","0.5033 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0167, t=0.94, p=0.444)"
UNet,WHU,kitsap,"0.5477 ± 0.0678 → 0.6270 ± 0.0269 (Δ=+0.0793, t=1.58, p=0.256)","0.6794 ± 0.1081 → 0.8096 ± 0.0407 (Δ=+0.1301, t=1.61, p=0.248)","0.7417 ± 0.0042 → 0.7356 ± 0.0043 (Δ=-0.0061, t=-3.39, p=0.077)","0.7061 ± 0.0556 → 0.7705 ± 0.0202 (Δ=+0.0644, t=1.59, p=0.252)","0.9874 ± 0.0033 → 0.9912 ± 0.0010 (Δ=+0.0038, t=1.65, p=0.241)","0.9872 ± 0.0033 → 0.9911 ± 0.0010 (Δ=+0.0038, t=1.65, p=0.241)","0.7675 ± 0.0356 → 0.8090 ± 0.0139 (Δ=+0.0415, t=1.58, p=0.255)","0.5477 ± 0.0678 → 0.6270 ± 0.0269 (Δ=+0.0793, t=1.58, p=0.256)","0.5033 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0167, t=0.94, p=0.444)"
UNet,WHU,overall,"0.6306 ± 0.0215 → 0.6520 ± 0.0024 (Δ=+0.0214, t=1.56, p=0.259)","0.7735 ± 0.0404 → 0.8085 ± 0.0118 (Δ=+0.0350, t=1.25, p=0.339)","0.7742 ± 0.0178 → 0.7713 ± 0.0114 (Δ=-0.0030, t=-0.18, p=0.875)","0.7733 ± 0.0161 → 0.7893 ± 0.0018 (Δ=+0.0160, t=1.56, p=0.259)","0.9373 ± 0.0061 → 0.9432 ± 0.0008 (Δ=+0.0059, t=1.52, p=0.268)","0.9298 ± 0.0069 → 0.9365 ± 0.0010 (Δ=+0.0067, t=1.50, p=0.271)","0.7802 ± 0.0141 → 0.7942 ± 0.0014 (Δ=+0.0140, t=1.57, p=0.258)","0.6306 ± 0.0205 → 0.6512 ± 0.0023 (Δ=+0.0206, t=1.57, p=0.256)","0.5033 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0167, t=0.94, p=0.444)"
